#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  58000      5.89e+00    6.42e+00      2.28e-02    8.04e-03      7.56e-01    8.25e-01    6.0e-05
  59000      6.35e+00    6.24e+00      5.05e-02    3.54e-03      8.11e-01    8.02e-01    6.0e-05
  60000      5.29e+00    5.64e+00      4.62e-04    2.09e-03      7.72e-01    8.23e-01    4.6e-05
  61000      4.53e+00    5.60e+00      7.97e-03    1.99e-02      6.61e-01    8.15e-01    4.6e-05
  62000      5.10e+00    5.29e+00      9.25e-03    1.13e-02      7.44e-01    7.70e-01    4.6e-05
  63000      4.88e+00    4.64e+00      7.46e-03    1.70e-02      7.12e-01    6.75e-01    4.6e-05
  64000      6.04e+00    4.72e+00      4.13e-03    7.81e-03      8.80e-01    6.88e-01    4.6e-05
  65000      5.19e+00    5.14e+00      1.21e-03    2.33e-02      8.58e-01    8.48e-01    3.6e-05
  66000      4.88e+00    4.93e+00      9.40e-04    1.04e-02      8.06e-01    8.15e-01    3.6e-05
  67000      4.65e+00    4.83e+00      1.98e-02    2.10e-02      7.67e-01    7.97e-01    3.6e-05
  68000      4.48e+00    4.80e+00      3.18e-02    4.98e-03      7.36e-01    7.92e-01    3.6e-05
  69000      4.97e+00    5.13e+00      1.58e-02    2.06e-02      8.21e-01    8.45e-01    3.6e-05
  70000      3.70e+00    4.30e+00      3.18e-02    1.54e-02      6.87e-01    8.04e-01    2.8e-05
  71000      4.43e+00    4.25e+00      5.66e-04    2.02e-02      8.29e-01    7.93e-01    2.8e-05
  72000      3.74e+00    4.51e+00      3.16e-03    2.50e-02      7.00e-01    8.40e-01    2.8e-05
  73000      4.30e+00    4.39e+00      1.74e-02    1.84e-03      8.03e-01    8.21e-01    2.8e-05
  74000      4.31e+00    4.48e+00      1.58e-03    7.79e-03      8.06e-01    8.38e-01    2.8e-05
  75000      3.45e+00    3.93e+00      2.03e-02    2.82e-02      7.28e-01    8.27e-01    2.1e-05
  76000      3.17e+00    4.19e+00      7.90e-03    2.84e-04      6.70e-01    8.87e-01    2.1e-05
  77000      3.75e+00    3.71e+00      1.20e-02    4.30e-02      7.94e-01    7.74e-01    2.1e-05
  78000      3.82e+00    3.90e+00      3.55e-03    9.39e-03      8.07e-01    8.25e-01    2.1e-05
  79000      3.30e+00    3.70e+00      1.67e-02    2.89e-02      6.95e-01    7.78e-01    2.1e-05
  80000      2.91e+00    3.36e+00      5.94e-03    4.20e-03      6.96e-01    8.04e-01    1.7e-05
  81000      3.52e+00    3.40e+00      1.36e-02    1.17e-02      8.41e-01    8.11e-01    1.7e-05
  82000      3.33e+00    3.23e+00      1.85e-02    5.26e-03      7.94e-01    7.72e-01    1.7e-05
  83000      3.63e+00    3.06e+00      1.70e-02    4.26e-03      8.67e-01    7.32e-01    1.7e-05
  84000      3.31e+00    3.56e+00      2.97e-03    1.24e-02      7.90e-01    8.49e-01    1.7e-05
  85000      3.08e+00    3.17e+00      3.71e-02    5.78e-03      8.16e-01    8.54e-01    1.3e-05
  86000      3.06e+00    2.96e+00      8.02e-03    2.00e-02      8.23e-01    7.94e-01    1.3e-05
  87000      3.17e+00    2.53e+00      2.83e-03    5.74e-03      8.54e-01    6.81e-01    1.3e-05
  88000      2.85e+00    2.19e+00      1.46e-02    1.71e-02      7.66e-01    5.87e-01    1.3e-05
  89000      3.02e+00    3.02e+00      2.09e-02    1.86e-02      8.11e-01    8.12e-01    1.3e-05
  90000      2.47e+00    2.60e+00      4.48e-03    2.11e-02      7.47e-01    7.84e-01    9.9e-06
  91000      2.63e+00    2.40e+00      6.98e-03    1.24e-02      7.97e-01    7.26e-01    9.9e-06
  92000      2.68e+00    2.73e+00      8.34e-03    5.50e-03      8.12e-01    8.27e-01    9.9e-06
  93000      2.41e+00    2.75e+00      8.93e-03    8.25e-03      7.30e-01    8.33e-01    9.9e-06
  94000      2.70e+00    2.69e+00      1.52e-02    1.10e-02      8.16e-01    8.13e-01    9.9e-06
  95000      2.22e+00    2.51e+00      1.44e-02    7.68e-03      7.53e-01    8.54e-01    7.7e-06
  96000      2.01e+00    2.26e+00      1.61e-03    5.60e-03      6.85e-01    7.69e-01    7.7e-06
  97000      2.19e+00    2.63e+00      2.03e-02    1.47e-02      7.37e-01    8.93e-01    7.7e-06
  98000      2.39e+00    1.81e+00      6.61e-03    5.89e-03      8.12e-01    6.15e-01    7.7e-06
  99000      2.19e+00    1.82e+00      3.96e-03    9.91e-03      7.45e-01    6.15e-01    7.7e-06
 100000      2.11e+00    2.06e+00      2.83e-03    8.78e-03      8.01e-01    7.82e-01    5.9e-06
 101000      2.24e+00    2.17e+00      2.42e-03    1.98e-02      8.53e-01    8.18e-01    5.9e-06
 102000      2.01e+00    1.84e+00      1.02e-02    5.84e-05      7.64e-01    6.99e-01    5.9e-06
 103000      2.25e+00    1.49e+00      3.80e-03    1.15e-02      8.55e-01    5.62e-01    5.9e-06
 104000      2.05e+00    2.24e+00      8.86e-03    8.73e-03      7.77e-01    8.49e-01    5.9e-06
 105000      1.69e+00    1.76e+00      2.34e-02    1.46e-02      7.02e-01    7.39e-01    4.6e-06
 106000      1.64e+00    1.81e+00      1.42e-03    5.47e-03      6.95e-01    7.64e-01    4.6e-06
 107000      1.90e+00    2.02e+00      1.92e-02    1.66e-02      7.96e-01    8.50e-01    4.6e-06
 108000      1.59e+00    2.01e+00      1.20e-02    5.57e-03      6.69e-01    8.48e-01    4.6e-06
 109000      8.24e-01    1.93e+00      4.36e-02    8.14e-03      2.20e-01    8.14e-01    4.6e-06
 110000      1.48e+00    1.52e+00      3.05e-03    3.73e-03      6.94e-01    7.14e-01    3.5e-06
 111000      1.72e+00    1.78e+00      1.25e-02    8.13e-03      8.01e-01    8.35e-01    3.5e-06
 112000      1.81e+00    1.69e+00      4.31e-03    1.03e-03      8.47e-01    7.91e-01    3.5e-06
 113000      1.75e+00    1.76e+00      1.26e-02    1.25e-02      8.16e-01    8.23e-01    3.5e-06
 114000      1.40e+00    1.61e+00      7.66e-03    1.51e-02      6.55e-01    7.49e-01    3.5e-06
 115000      1.32e+00    1.55e+00      7.00e-03    1.12e-02      6.82e-01    7.95e-01    2.7e-06
 116000      1.41e+00    1.60e+00      1.83e-03    2.60e-02      7.27e-01    8.06e-01    2.7e-06
 117000      1.61e+00    1.61e+00      2.98e-02    2.03e-02      8.01e-01    8.17e-01    2.7e-06
 118000      1.55e+00    1.59e+00      1.17e-02    3.90e-03      7.96e-01    8.20e-01    2.7e-06
 119000      1.29e+00    1.57e+00      7.74e-04    4.94e-03      6.66e-01    8.13e-01    2.7e-06
 120000      1.46e+00    1.44e+00      1.75e-02    1.10e-02      8.13e-01    8.09e-01    2.1e-06
 121000      1.51e+00    1.50e+00      3.63e-02    9.15e-03      8.02e-01    8.45e-01    2.1e-06
 122000      1.41e+00    1.15e+00      5.55e-04    3.75e-03      7.97e-01    6.49e-01    2.1e-06
 123000      1.23e+00    1.51e+00      1.44e-03    1.04e-02      6.97e-01    8.48e-01    2.1e-06
 124000      1.32e+00    1.45e+00      4.46e-05    7.73e-03      7.47e-01    8.17e-01    2.1e-06
 125000      1.35e+00    1.34e+00      1.75e-02    6.17e-03      8.16e-01    8.25e-01    1.6e-06
 126000      1.39e+00    1.33e+00      8.27e-03    5.99e-03      8.52e-01    8.14e-01    1.6e-06
 127000      1.22e+00    1.38e+00      6.13e-03    3.24e-03      7.47e-01    8.46e-01    1.6e-06
 128000      1.11e+00    1.32e+00      6.01e-03    2.49e-03      6.82e-01    8.15e-01    1.6e-06
 129000      1.42e+00    1.24e+00      1.34e-02    5.29e-03      8.64e-01    7.64e-01    1.6e-06
 130000      1.17e+00    1.22e+00      1.72e-03    1.03e-02      7.78e-01    8.05e-01    1.3e-06
 131000      1.28e+00    1.22e+00      8.93e-03    3.24e-03      8.47e-01    8.10e-01    1.3e-06
 132000      1.04e+00    1.26e+00      6.26e-03    9.77e-03      6.85e-01    8.30e-01    1.3e-06
 133000      1.09e+00    1.24e+00      1.85e-02    2.10e-02      6.97e-01    7.99e-01    1.3e-06
 134000      1.20e+00    1.19e+00      4.29e-03    1.69e-02      7.97e-01    7.76e-01    1.3e-06
 135000      1.15e+00    1.22e+00      8.37e-03    8.35e-03      8.10e-01    8.59e-01    9.8e-07
 136000      1.16e+00    1.12e+00      3.23e-03    7.80e-03      8.26e-01    7.89e-01    9.8e-07
 137000      1.16e+00    1.19e+00      9.53e-03    7.78e-03      8.15e-01    8.39e-01    9.8e-07
 138000      1.03e+00    9.71e-01      4.99e-03    8.69e-03      7.32e-01    6.83e-01    9.8e-07
 139000      1.14e+00    8.83e-01      1.52e-02    6.62e-04      7.97e-01    6.27e-01    9.8e-07
 140000      1.11e+00    1.04e+00      1.64e-02    2.57e-02      8.16e-01    7.30e-01    7.6e-07
 141000      8.96e-01    1.14e+00      6.49e-03    9.62e-03      6.72e-01    8.56e-01    7.6e-07
 142000      8.70e-01    1.09e+00      1.43e-03    5.82e-03      6.56e-01    8.18e-01    7.6e-07
 143000      1.15e+00    1.09e+00      1.08e-02    1.21e-02      8.56e-01    8.12e-01    7.6e-07
 144000      1.07e+00    1.03e+00      6.33e-03    1.12e-02      8.03e-01    7.68e-01    7.6e-07
 145000      8.40e-01    1.07e+00      2.83e-05    4.45e-03      6.66e-01    8.45e-01    5.9e-07
 146000      8.95e-01    1.07e+00      6.98e-03    4.12e-03      7.05e-01    8.47e-01    5.9e-07
 147000      8.80e-01    5.70e-01      5.20e-03    3.20e-02      6.96e-01    2.56e-01    5.9e-07
 148000      9.38e-01    9.61e-01      8.74e-03    5.61e-03      7.37e-01    7.59e-01    5.9e-07
 149000      1.09e+00    1.01e+00      1.21e-02    6.89e-03      8.54e-01    7.96e-01    5.9e-07
 150000      9.68e-01    9.87e-01      2.52e-04    1.11e-02      8.03e-01    8.07e-01    4.6e-07
 151000      9.56e-01    9.81e-01      5.01e-03    1.44e-03      7.90e-01    8.13e-01    4.6e-07
 152000      9.71e-01    8.23e-01      1.26e-02    8.05e-03      7.90e-01    6.75e-01    4.6e-07
 153000      9.92e-01    1.02e+00      1.17e-02    2.11e-02      8.10e-01    8.06e-01    4.6e-07
 154000      9.29e-01    8.15e-01      5.76e-03    7.72e-03      7.67e-01    6.69e-01    4.6e-07
 155000      9.08e-01    1.02e+00      1.27e-02    1.48e-02      7.64e-01    8.53e-01    3.5e-07
 156000      9.91e-01    9.84e-01      1.32e-02    1.68e-02      8.36e-01    8.19e-01    3.5e-07
